"ccode_1","ccode_2","year","ip_diff"
2,20,2001,1.418191
2,31,2001,2.8630192
2,40,2001,3.923568
2,41,2001,3.1177288
2,42,2001,2.9942714
2,51,2001,3.1202044
2,52,2001,2.9237271
2,53,2001,3.0849707
2,54,2001,3.0739598
2,55,2001,2.9850951
2,56,2001,3.4608344
2,57,2001,3.0700308
2,58,2001,3.3948044
2,60,2001,3.2254007
2,70,2001,3.2468028
2,80,2001,2.9507487
2,90,2001,2.67978395
2,91,2001,2.8743823
2,92,2001,2.9784508
2,93,2001,2.36933
2,94,2001,2.9506636
2,95,2001,2.8963309
2,100,2001,2.9688916
2,101,2001,3.2148598
2,110,2001,3.1277718
2,115,2001,2.9619046
2,130,2001,3.0063237
2,135,2001,2.65370004
2,140,2001,2.6561079
2,145,2001,2.8184939
2,150,2001,2.4811748
2,155,2001,2.5021366
2,160,2001,2.324483
2,165,2001,2.61347383
2,200,2001,0.955404
2,205,2001,1.7430597
2,210,2001,1.423022
2,211,2001,1.457863
2,212,2001,1.4548
2,220,2001,1.108608
2,221,2001,1.49975
2,223,2001,1.602722
2,230,2001,1.554459
2,232,2001,1.572689
2,235,2001,1.575105
2,255,2001,1.419938
2,290,2001,1.481428
2,305,2001,1.618727
2,310,2001,1.415896
2,316,2001,1.484666
2,317,2001,1.624529
2,325,2001,1.510611
2,331,2001,1.657903
2,338,2001,1.9310256
2,339,2001,1.270419
2,343,2001,1.639357
2,344,2001,1.7847392
2,345,2001,1.7572743
2,346,2001,1.51885
2,349,2001,1.490067
2,350,2001,1.52703
2,352,2001,1.9694703
2,355,2001,1.516617
2,359,2001,1.7404037
2,360,2001,1.510389
2,365,2001,2.4546196
2,366,2001,1.499462
2,367,2001,1.470993
2,368,2001,1.514874
2,369,2001,2.2056887
2,370,2001,2.75622821
2,371,2001,2.4106978
2,372,2001,1.7596889
2,373,2001,2.65581827
2,375,2001,1.51007
2,380,2001,1.615147
2,385,2001,1.439324
2,390,2001,1.385869
2,395,2001,1.480368
2,402,2001,3.3537314
2,411,2001,3.3793628
2,420,2001,3.3658676
2,432,2001,3.376382
2,433,2001,3.1598344
2,434,2001,3.1587286
2,435,2001,3.942351
2,437,2001,3.401469
2,438,2001,3.0962003
2,439,2001,3.5311333
2,451,2001,3.1700778
2,452,2001,3.3164735
2,461,2001,3.5010987
2,471,2001,3.2718359
2,475,2001,3.3112462
2,481,2001,3.2226874
2,483,2001,3.849028
2,484,2001,3.5875509
2,490,2001,3.952587
2,500,2001,3.4047769
2,501,2001,3.1890854
2,510,2001,3.5591275
2,516,2001,3.2955819
2,517,2001,3.5321593
2,522,2001,3.780362
2,530,2001,3.232061
2,531,2001,3.201005
2,540,2001,2.9260897
2,541,2001,3.2986963
2,551,2001,3.2109244
2,552,2001,3.3304885
2,553,2001,2.8882163
2,560,2001,2.5810401
2,565,2001,3.3146541
2,570,2001,3.217618
2,571,2001,3.1418773
2,572,2001,3.4498518
2,580,2001,3.1363718
2,581,2001,3.6558409
2,590,2001,2.9336938
2,591,2001,3.1300531
2,600,2001,3.6372077
2,615,2001,3.939414
2,616,2001,3.915392
2,620,2001,4.404721
2,625,2001,4.208378
2,630,2001,4.1922
2,640,2001,1.990111
2,651,2001,3.908951
2,652,2001,3.94507
2,660,2001,3.879514
2,663,2001,3.885334
2,666,2001,0.244632
2,670,2001,3.3346409
2,679,2001,3.720046
2,690,2001,3.256273
2,692,2001,3.5150048
2,694,2001,3.852492
2,696,2001,3.3846036
2,698,2001,3.856292
2,700,2001,3.5704711
2,701,2001,2.64459292
2,705,2001,2.4548793
2,710,2001,3.2335443
2,712,2001,2.9527255
2,731,2001,4.236026
2,732,2001,2.0155101
2,740,2001,1.8675773
2,750,2001,3.2817343
2,760,2001,3.3026424
2,770,2001,3.4030711
2,771,2001,3.3100769
2,775,2001,4.084731
2,780,2001,3.3911879
2,781,2001,3.1744594
2,790,2001,3.4031087
2,800,2001,3.0819445
2,811,2001,3.4527451
2,812,2001,3.99162
2,816,2001,4.071439
2,820,2001,3.6532696
2,830,2001,2.9366796
2,835,2001,3.6267803
2,840,2001,3.0368147
2,850,2001,3.6291974
2,900,2001,1.57704
2,910,2001,2.68017809
2,920,2001,1.7695155
2,935,2001,2.4569596
2,940,2001,2.65348032
2,946,2001,2.2653791
2,947,2001,0.87037
2,950,2001,2.8358568
2,955,2001,2.3886882
2,970,2001,2.2791611
2,983,2001,0.265134
2,986,2001,1.8235228
2,987,2001,0.550672
2,990,2001,2.3774935
20,31,2001,1.4448282
20,40,2001,2.505377
20,41,2001,1.6995378
20,42,2001,1.5760804
20,51,2001,1.7020134
20,52,2001,1.5055361
20,53,2001,1.6667797
20,54,2001,1.6557688
20,55,2001,1.5669041
20,56,2001,2.0426434
20,57,2001,1.6518398
20,58,2001,1.9766134
20,60,2001,1.8072097
20,70,2001,1.8286118
20,80,2001,1.5325577
20,90,2001,1.26159295
20,91,2001,1.4561913
20,92,2001,1.5602598
20,93,2001,0.951139
20,94,2001,1.5324726
20,95,2001,1.4781399
20,100,2001,1.5507006
20,101,2001,1.7966688
20,110,2001,1.7095808
20,115,2001,1.5437136
20,130,2001,1.5881327
20,135,2001,1.23550904
20,140,2001,1.2379169
20,145,2001,1.4003029
20,150,2001,1.0629838
20,155,2001,1.0839456
20,160,2001,0.906292
20,165,2001,1.19528283
20,200,2001,0.462787
20,205,2001,0.3248687
20,210,2001,0.00483100000000003
20,211,2001,0.0396719999999999
20,212,2001,0.0366089999999999
20,220,2001,0.309583
20,221,2001,0.0815589999999999
20,223,2001,0.184531
20,230,2001,0.136268
20,232,2001,0.154498
20,235,2001,0.156914
20,255,2001,0.00174699999999994
20,290,2001,0.063237
20,305,2001,0.200536
20,310,2001,0.00229500000000016
20,316,2001,0.0664749999999998
20,317,2001,0.206338
20,325,2001,0.0924199999999999
20,331,2001,0.239712
20,338,2001,0.5128346
20,339,2001,0.147772
20,343,2001,0.221166
20,344,2001,0.3665482
20,345,2001,0.3390833
20,346,2001,0.100659
20,349,2001,0.0718760000000001
20,350,2001,0.108839
20,352,2001,0.5512793
20,355,2001,0.0984259999999999
20,359,2001,0.3222127
20,360,2001,0.092198
20,365,2001,1.0364286
20,366,2001,0.0812709999999999
20,367,2001,0.052802
20,368,2001,0.0966829999999999
20,369,2001,0.7874977
20,370,2001,1.33803721
20,371,2001,0.9925068
20,372,2001,0.3414979
20,373,2001,1.23762727
20,375,2001,0.091879
20,380,2001,0.196956
20,385,2001,0.0211329999999998
20,390,2001,0.032322
20,395,2001,0.0621769999999999
20,402,2001,1.9355404
20,411,2001,1.9611718
20,420,2001,1.9476766
20,432,2001,1.958191
20,433,2001,1.7416434
20,434,2001,1.7405376
20,435,2001,2.52416
20,437,2001,1.983278
20,438,2001,1.6780093
20,439,2001,2.1129423
20,451,2001,1.7518868
20,452,2001,1.8982825
20,461,2001,2.0829077
20,471,2001,1.8536449
20,475,2001,1.8930552
20,481,2001,1.8044964
20,483,2001,2.430837
20,484,2001,2.1693599
20,490,2001,2.534396
20,500,2001,1.9865859
20,501,2001,1.7708944
20,510,2001,2.1409365
20,516,2001,1.8773909
20,517,2001,2.1139683
20,522,2001,2.362171
20,530,2001,1.81387
20,531,2001,1.782814
20,540,2001,1.5078987
20,541,2001,1.8805053
20,551,2001,1.7927334
20,552,2001,1.9122975
20,553,2001,1.4700253
20,560,2001,1.1628491
20,565,2001,1.8964631
20,570,2001,1.799427
20,571,2001,1.7236863
20,572,2001,2.0316608
20,580,2001,1.7181808
20,581,2001,2.2376499
20,590,2001,1.5155028
20,591,2001,1.7118621
20,600,2001,2.2190167
20,615,2001,2.521223
20,616,2001,2.497201
20,620,2001,2.98653
20,625,2001,2.790187
20,630,2001,2.774009
20,640,2001,0.57192
20,651,2001,2.49076
20,652,2001,2.526879
20,660,2001,2.461323
20,663,2001,2.467143
20,666,2001,1.173559
20,670,2001,1.9164499
20,679,2001,2.301855
20,690,2001,1.838082
20,692,2001,2.0968138
20,694,2001,2.434301
20,696,2001,1.9664126
20,698,2001,2.438101
20,700,2001,2.1522801
20,701,2001,1.22640192
20,705,2001,1.0366883
20,710,2001,1.8153533
20,712,2001,1.5345345
20,731,2001,2.817835
20,732,2001,0.5973191
20,740,2001,0.4493863
20,750,2001,1.8635433
20,760,2001,1.8844514
20,770,2001,1.9848801
20,771,2001,1.8918859
20,775,2001,2.66654
20,780,2001,1.9729969
20,781,2001,1.7562684
20,790,2001,1.9849177
20,800,2001,1.6637535
20,811,2001,2.0345541
20,812,2001,2.573429
20,816,2001,2.653248
20,820,2001,2.2350786
20,830,2001,1.5184886
20,835,2001,2.2085893
20,840,2001,1.6186237
20,850,2001,2.2110064
20,900,2001,0.158849
20,910,2001,1.26198709
20,920,2001,0.3513245
20,935,2001,1.0387686
20,940,2001,1.23528932
20,946,2001,0.8471881
20,947,2001,0.547821
20,950,2001,1.4176658
20,955,2001,0.9704972
20,970,2001,0.8609701
20,983,2001,1.153057
20,986,2001,0.4053318
20,987,2001,0.867519
20,990,2001,0.9593025
31,40,2001,1.0605488
