"ccode_1","ccode_2","year","ip_diff"
2,20,2010,0.974314
2,31,2010,2.858359
2,40,2010,4.014235
2,41,2010,3.1616901
2,42,2010,3.0880987
2,51,2010,3.1042667
2,52,2010,3.1856577
2,53,2010,3.1154748
2,54,2010,3.093664
2,55,2010,1.7525816
2,56,2010,2.9107094
2,57,2010,3.2450172
2,58,2010,3.1020539
2,60,2010,3.148769
2,70,2010,2.57414733
2,80,2010,3.1032393
2,90,2010,2.7142171
2,91,2010,2.7088396
2,92,2010,2.6950616
2,93,2010,3.618847
2,94,2010,2.7898841
2,95,2010,2.2957395
2,100,2010,2.6474158
2,101,2010,3.791846
2,110,2010,3.3246074
2,115,2010,3.2462972
2,130,2010,3.1686186
2,135,2010,2.60568041
2,140,2010,3.0043468
2,145,2010,3.4430664
2,150,2010,2.883112
2,155,2010,2.672094
2,160,2010,2.49411642
2,165,2010,2.668038
2,200,2010,0.835342
2,205,2010,1.7757964
2,210,2010,1.457758
2,211,2010,1.426639
2,212,2010,1.6302942
2,220,2010,1.090911
2,221,2010,1.6179601
2,223,2010,1.7099003
2,225,2010,1.7738059
2,230,2010,1.7080596
2,232,2010,1.5826072
2,235,2010,1.5960434
2,255,2010,1.499755
2,290,2010,1.459846
2,305,2010,1.7824491
2,310,2010,1.479899
2,316,2010,1.418592
2,317,2010,1.506905
2,325,2010,1.6312372
2,331,2010,1.6875387
2,338,2010,1.9028756
2,339,2010,1.5943155
2,341,2010,1.6346438
2,343,2010,1.6666279
2,344,2010,1.5487593
2,345,2010,2.0556083
2,346,2010,1.8894522
2,349,2010,1.641266
2,350,2010,2.8924165
2,352,2010,1.9383138
2,355,2010,1.475256
2,359,2010,1.6314235
2,360,2010,1.538319
2,365,2010,2.49522004
2,366,2010,1.431318
2,367,2010,1.424688
2,368,2010,1.433619
2,369,2010,1.6748497
2,370,2010,2.844417
2,371,2010,2.4481302
2,372,2010,1.6389599
2,373,2010,2.7449659
2,375,2010,1.6663508
2,380,2010,1.6408215
2,385,2010,1.6632303
2,390,2010,1.455012
2,395,2010,1.6610009
2,402,2010,2.8901916
2,403,2010,2.7644933
2,404,2010,3.0525503
2,411,2010,3.2080101
2,420,2010,3.1513823
2,432,2010,3.2238167
2,433,2010,3.2950811
2,434,2010,2.6902285
2,435,2010,3.4977519
2,436,2010,3.1646384
2,437,2010,2.4265892
2,438,2010,3.575714
2,439,2010,3.1644929
2,450,2010,2.8589623
2,451,2010,3.0482372
2,452,2010,3.0708648
2,461,2010,2.9910181
2,471,2010,2.3155798
2,475,2010,3.0173038
2,481,2010,3.0871144
2,482,2010,3.1231981
2,483,2010,3.1490119
2,484,2010,3.022034
2,490,2010,2.8376527
2,500,2010,3.3789777
2,501,2010,3.1143137
2,510,2010,3.0659863
2,516,2010,2.8429835
2,517,2010,2.9225997
2,520,2010,3.5076134
2,522,2010,3.0530811
2,530,2010,3.0855382
2,531,2010,3.2754545
2,540,2010,3.2046728
2,541,2010,3.1924582
2,551,2010,3.0776649
2,552,2010,4.008831
2,553,2010,2.9869407
2,560,2010,3.0011655
2,565,2010,3.2614236
2,570,2010,3.1511698
2,571,2010,2.9222362
2,572,2010,3.3804767
2,580,2010,2.9545791
2,581,2010,3.4085335
2,590,2010,3.0552601
2,591,2010,3.1742196
2,600,2010,3.1911069
2,615,2010,3.666472
2,616,2010,3.5167698
2,620,2010,3.882764
2,625,2010,3.951769
2,630,2010,4.571248
2,640,2010,2.0707447
2,645,2010,3.3424955
2,651,2010,4.005165
2,652,2010,4.584057
2,660,2010,3.61685
2,663,2010,3.1882333
2,666,2010,0.111531
2,670,2010,3.4755863
2,679,2010,3.5281017
2,690,2010,3.585639
2,692,2010,3.4730036
2,694,2010,3.721465
2,696,2010,3.485146
2,698,2010,3.815183
2,700,2010,3.3893136
2,701,2010,3.3197484
2,702,2010,2.8440353
2,703,2010,2.7064067
2,704,2010,2.8941197
2,705,2010,2.8261586
2,710,2010,3.3818879
2,712,2010,2.8094264
2,731,2010,4.684754
2,732,2010,1.9250473
2,740,2010,1.87393
2,750,2010,3.0901943
2,760,2010,2.9795606
2,770,2010,3.4156867
2,771,2010,3.547688
2,775,2010,3.586261
2,780,2010,3.4665471
2,781,2010,2.9328178
2,790,2010,3.078441
2,800,2010,3.0803435
2,811,2010,3.2909849
2,812,2010,3.3887162
2,816,2010,3.844372
2,820,2010,3.734182
2,830,2010,3.0202986
2,835,2010,3.569694
2,840,2010,3.0249682
2,850,2010,3.714097
2,860,2010,2.7395557
2,900,2010,1.208748
2,910,2010,2.6357064
2,920,2010,1.6842994
2,935,2010,2.7137397
2,940,2010,2.9119609
2,946,2010,1.485349
2,947,2010,2.773621
2,950,2010,2.55018967
2,955,2010,2.2949595
2,970,2010,0.0266279999999997
