"ccode_1","ccode_2","year","ip_diff"
2,20,1959,0.6591967
2,40,1959,1.7698687
2,41,1959,0.6647449
2,42,1959,0.398409
2,70,1959,1.3249825
2,90,1959,0.6236222
2,91,1959,0.123664
2,92,1959,0.7306904
2,93,1959,0.178778
2,94,1959,0.7472716
2,95,1959,1.0445224
2,100,1959,0.207031
2,101,1959,1.364759
2,130,1959,0.7965501
2,135,1959,0.359669
2,140,1959,0.0511490000000001
2,145,1959,0.6996664
2,150,1959,0.450844
2,155,1959,0.331119
2,160,1959,0.6508216
2,165,1959,0.362886
2,200,1959,0.352078
2,205,1959,1.3898187
2,210,1959,0.091378
2,211,1959,0.264855
2,212,1959,0.321498
2,220,1959,0.408026
2,230,1959,0.0342979999999999
2,235,1959,0.0508120000000001
2,290,1959,4.073933
2,305,1959,0.7188121
2,310,1959,4.320917
2,315,1959,4.346679
2,325,1959,0.142852
2,339,1959,4.345272
2,345,1959,3.299583
2,350,1959,0.6866506
2,355,1959,4.330327
2,360,1959,4.333076
2,365,1959,4.315634
2,369,1959,4.334446
2,370,1959,4.311653
2,375,1959,1.3739497
2,380,1959,1.3100349
2,385,1959,0.9584437
2,390,1959,0.8970665
2,395,1959,1.2411775
2,438,1959,2.678466
2,450,1959,1.3616304
2,452,1959,2.2413013
2,530,1959,1.8684541
2,560,1959,0.752229
2,600,1959,2.889938
2,616,1959,1.8822035
2,620,1959,2.2056033
2,625,1959,2.2479662
2,630,1959,1.2857074
2,640,1959,0.6654741
2,645,1959,2.917933
2,651,1959,2.4683672
2,660,1959,1.7247016
2,663,1959,1.58304997
2,666,1959,0.437168
2,670,1959,1.9728421
2,678,1959,2.483512
2,700,1959,2.4892856
2,713,1959,0.5702953
2,740,1959,1.0614298
2,750,1959,2.4101581
2,770,1959,1.3219381
2,775,1959,2.1015641
2,780,1959,1.9661422
2,790,1959,2.5408948
2,800,1959,0.5945757
2,811,1959,1.544179021
2,812,1959,0.445762
2,820,1959,1.3827245
2,840,1959,1.140575
2,850,1959,2.4751873
2,900,1959,0.150461
2,920,1959,0.6302694
20,40,1959,1.110672
20,41,1959,0.0055482
20,42,1959,1.0576057
20,70,1959,0.6657858
20,90,1959,0.0355745000000001
20,91,1959,0.7828607
20,92,1959,0.0714937
20,93,1959,0.8379747
20,94,1959,0.0880749
20,95,1959,0.3853257
20,100,1959,0.4521657
20,101,1959,0.7055623
20,130,1959,0.1373534
20,135,1959,1.0188657
20,140,1959,0.6080477
20,145,1959,0.0404696999999999
20,150,1959,0.2083527
20,155,1959,0.3280777
20,160,1959,0.00837510000000008
20,165,1959,0.2963107
20,200,1959,1.0112747
20,205,1959,0.730622
20,210,1959,0.7505747
20,211,1959,0.9240517
20,212,1959,0.9806947
20,220,1959,1.0672227
20,230,1959,0.6248987
20,235,1959,0.6083847
20,290,1959,3.4147363
20,305,1959,0.0596154
20,310,1959,3.6617203
20,315,1959,3.6874823
20,325,1959,0.8020487
20,339,1959,3.6860753
20,345,1959,2.6403863
20,350,1959,0.0274538999999999
20,355,1959,3.6711303
20,360,1959,3.6738793
20,365,1959,3.6564373
20,369,1959,3.6752493
20,370,1959,3.6524563
20,375,1959,0.714753
20,380,1959,0.6508382
20,385,1959,0.299247
20,390,1959,0.2378698
20,395,1959,0.5819808
20,438,1959,2.0192693
20,450,1959,0.7024337
20,452,1959,1.5821046
20,530,1959,1.2092574
20,560,1959,1.4114257
20,600,1959,2.2307413
20,616,1959,1.2230068
20,620,1959,1.5464066
20,625,1959,1.5887695
20,630,1959,0.6265107
20,640,1959,0.00627739999999999
20,645,1959,2.2587363
20,651,1959,1.8091705
20,660,1959,1.0655049
20,663,1959,0.92385327
20,666,1959,0.2220287
20,670,1959,1.3136454
20,678,1959,1.8243153
20,700,1959,1.8300889
20,713,1959,0.0889014
20,740,1959,0.4022331
20,750,1959,1.7509614
20,770,1959,0.6627414
20,775,1959,1.4423674
20,780,1959,1.3069455
20,790,1959,1.8816981
20,800,1959,0.064621
20,811,1959,0.884982321
20,812,1959,0.2134347
20,820,1959,0.7235278
20,840,1959,0.4813783
20,850,1959,1.8159906
20,900,1959,0.5087357
20,920,1959,0.0289273000000001
40,41,1959,1.1051238
40,42,1959,2.1682777
40,70,1959,0.4448862
40,90,1959,1.1462465
40,91,1959,1.8935327
40,92,1959,1.0391783
40,93,1959,1.9486467
40,94,1959,1.0225971
40,95,1959,0.7253463
40,100,1959,1.5628377
40,101,1959,0.4051097
40,130,1959,0.9733186
40,135,1959,2.1295377
40,140,1959,1.7187197
40,145,1959,1.0702023
40,150,1959,1.3190247
40,155,1959,1.4387497
40,160,1959,1.1190471
40,165,1959,1.4069827
40,200,1959,2.1219467
40,205,1959,0.38005
40,210,1959,1.8612467
40,211,1959,2.0347237
40,212,1959,2.0913667
40,220,1959,2.1778947
40,230,1959,1.7355707
40,235,1959,1.7190567
40,290,1959,2.3040643
40,305,1959,1.0510566
40,310,1959,2.5510483
40,315,1959,2.5768103
40,325,1959,1.9127207
40,339,1959,2.5754033
40,345,1959,1.5297143
40,350,1959,1.0832181
40,355,1959,2.5604583
40,360,1959,2.5632073
40,365,1959,2.5457653
40,369,1959,2.5645773
40,370,1959,2.5417843
40,375,1959,0.395919
40,380,1959,0.4598338
40,385,1959,0.811425
40,390,1959,0.8728022
40,395,1959,0.5286912
40,438,1959,0.9085973
40,450,1959,0.4082383
40,452,1959,0.4714326
40,530,1959,0.0985854
40,560,1959,2.5220977
40,600,1959,1.1200693
40,616,1959,0.1123348
40,620,1959,0.4357346
40,625,1959,0.4780975
40,630,1959,0.4841613
40,640,1959,1.1043946
40,645,1959,1.1480643
40,651,1959,0.6984985
40,660,1959,0.0451671
40,663,1959,0.18681873
40,666,1959,1.3327007
40,670,1959,0.2029734
40,678,1959,0.7136433
40,700,1959,0.7194169
40,713,1959,1.1995734
40,740,1959,0.7084389
40,750,1959,0.6402894
40,770,1959,0.4479306
40,775,1959,0.3316954
40,780,1959,0.1962735
40,790,1959,0.7710261
40,800,1959,1.175293
40,811,1959,0.225689679
40,812,1959,1.3241067
40,820,1959,0.3871442
40,840,1959,0.6292937
40,850,1959,0.7053186
40,900,1959,1.6194077
40,920,1959,1.1395993
41,42,1959,1.0631539
41,70,1959,0.6602376
41,90,1959,0.0411227000000001
41,91,1959,0.7884089
41,92,1959,0.0659455
41,93,1959,0.8435229
41,94,1959,0.0825267
41,95,1959,0.3797775
41,100,1959,0.4577139
41,101,1959,0.7000141
41,130,1959,0.1318052
41,135,1959,1.0244139
41,140,1959,0.6135959
41,145,1959,0.0349214999999999
41,150,1959,0.2139009
41,155,1959,0.3336259
41,160,1959,0.0139233000000001
41,165,1959,0.3018589
41,200,1959,1.0168229
41,205,1959,0.7250738
41,210,1959,0.7561229
41,211,1959,0.9295999
41,212,1959,0.9862429
41,220,1959,1.0727709
41,230,1959,0.6304469
41,235,1959,0.6139329
41,290,1959,3.4091881
41,305,1959,0.0540672
41,310,1959,3.6561721
41,315,1959,3.6819341
41,325,1959,0.8075969
41,339,1959,3.6805271
41,345,1959,2.6348381
41,350,1959,0.0219056999999999
41,355,1959,3.6655821
41,360,1959,3.6683311
