"ccode_1","ccode_2","year","ip_diff"
2,20,1956,0.344385
2,40,1956,0.0880809999999999
2,41,1956,0.6191897
2,42,1956,0.380357
2,70,1956,0.5246837
2,90,1956,0.6279101
2,91,1956,0.1213176
2,92,1956,0.5582978
2,93,1956,0.0550153000000001
2,94,1956,0.2724133
2,95,1956,0.2758852
2,100,1956,0.00860399999999983
2,101,1956,0.2459054
2,130,1956,0.342051
2,135,1956,0.106262
2,140,1956,0.0804739999999999
2,145,1956,0.559259
2,150,1956,0.2156996
2,155,1956,0.1131894
2,160,1956,0.3116667
2,165,1956,0.4063511
2,200,1956,1.107245
2,205,1956,0.0457289999999999
2,210,1956,0.847956
2,211,1956,0.776305
2,212,1956,0.881174
2,220,1956,1.398787
2,230,1956,0.0631473000000001
2,235,1956,0.475542
2,290,1956,3.781097
2,305,1956,0.7135922
2,310,1956,3.873818
2,315,1956,3.817088
2,325,1956,0.581255
2,339,1956,3.814227
2,345,1956,2.50646
2,350,1956,0.6028507
2,355,1956,3.808279
2,360,1956,3.873174
2,365,1956,3.833002
2,369,1956,3.823642
2,370,1956,3.806476
2,375,1956,0.94626719
2,380,1956,0.0759136000000001
2,385,1956,0.0738620000000001
2,390,1956,0.0929229999999999
2,395,1956,0.199077
2,450,1956,0.6643032
2,452,1956,1.8875741
2,530,1956,0.8861668
2,560,1956,0.649646
2,600,1956,1.7824707
2,616,1956,1.192873
2,620,1956,1.6006172
2,625,1956,2.020009
2,630,1956,0.7322667
2,640,1956,0.133718
2,645,1956,0.8521202
2,651,1956,2.137232
2,652,1956,2.267079
2,660,1956,1.5260522
2,663,1956,2.174323
2,666,1956,0.568956
2,670,1956,1.9950697
2,678,1956,2.079803
2,700,1956,1.8913499
2,713,1956,0.232438
2,740,1956,0.4052952
2,750,1956,2.0023157
2,770,1956,0.3962571
2,775,1956,1.4359988
2,780,1956,1.4784394
2,790,1956,1.3056195
2,800,1956,0.3301191
2,811,1956,1.1231826
2,812,1956,0.3948148
2,840,1956,0.3571244
2,850,1956,1.8338139
2,900,1956,1.027172
2,920,1956,0.925721
20,40,1956,0.256304
20,41,1956,0.9635747
20,42,1956,0.0359719999999999
20,70,1956,0.8690687
20,90,1956,0.9722951
20,91,1956,0.4657026
20,92,1956,0.9026828
20,93,1956,0.3994003
20,94,1956,0.6167983
20,95,1956,0.6202702
20,100,1956,0.335781
20,101,1956,0.5902904
20,130,1956,0.686436
20,135,1956,0.238123
20,140,1956,0.263911
20,145,1956,0.903644
20,150,1956,0.5600846
20,155,1956,0.4575744
20,160,1956,0.6560517
20,165,1956,0.7507361
20,200,1956,0.76286
20,205,1956,0.298656
20,210,1956,0.503571
20,211,1956,0.43192
20,212,1956,0.536789
20,220,1956,1.054402
20,230,1956,0.4075323
20,235,1956,0.131157
20,290,1956,4.125482
20,305,1956,1.0579772
20,310,1956,4.218203
20,315,1956,4.161473
20,325,1956,0.23687
20,339,1956,4.158612
20,345,1956,2.850845
20,350,1956,0.9472357
20,355,1956,4.152664
20,360,1956,4.217559
20,365,1956,4.177387
20,369,1956,4.168027
20,370,1956,4.150861
20,375,1956,1.29065219
20,380,1956,0.4202986
20,385,1956,0.418247
20,390,1956,0.251462
20,395,1956,0.145308
20,450,1956,1.0086882
20,452,1956,2.2319591
20,530,1956,1.2305518
20,560,1956,0.305261
20,600,1956,2.1268557
20,616,1956,1.537258
20,620,1956,1.9450022
20,625,1956,2.364394
20,630,1956,1.0766517
20,640,1956,0.210667
20,645,1956,1.1965052
20,651,1956,2.481617
20,652,1956,2.611464
20,660,1956,1.8704372
20,663,1956,2.518708
20,666,1956,0.224571
20,670,1956,2.3394547
20,678,1956,2.424188
20,700,1956,2.2357349
20,713,1956,0.111947
20,740,1956,0.7496802
20,750,1956,2.3467007
20,770,1956,0.7406421
20,775,1956,1.7803838
20,780,1956,1.8228244
20,790,1956,1.6500045
20,800,1956,0.6745041
20,811,1956,1.4675676
20,812,1956,0.7391998
20,840,1956,0.7015094
20,850,1956,2.1781989
20,900,1956,0.682787
20,920,1956,0.581336
40,41,1956,0.7072707
40,42,1956,0.292276
40,70,1956,0.6127647
40,90,1956,0.7159911
40,91,1956,0.2093986
40,92,1956,0.6463788
40,93,1956,0.1430963
40,94,1956,0.3604943
40,95,1956,0.3639662
40,100,1956,0.079477
40,101,1956,0.3339864
40,130,1956,0.430132
40,135,1956,0.018181
40,140,1956,0.00760699999999992
40,145,1956,0.64734
40,150,1956,0.3037806
40,155,1956,0.2012704
40,160,1956,0.3997477
40,165,1956,0.4944321
40,200,1956,1.019164
40,205,1956,0.0423519999999999
40,210,1956,0.759875
40,211,1956,0.688224
40,212,1956,0.793093
40,220,1956,1.310706
40,230,1956,0.1512283
40,235,1956,0.387461
40,290,1956,3.869178
40,305,1956,0.8016732
40,310,1956,3.961899
40,315,1956,3.905169
40,325,1956,0.493174
40,339,1956,3.902308
40,345,1956,2.594541
40,350,1956,0.6909317
40,355,1956,3.89636
40,360,1956,3.961255
40,365,1956,3.921083
40,369,1956,3.911723
40,370,1956,3.894557
40,375,1956,1.03434819
40,380,1956,0.1639946
40,385,1956,0.161943
40,390,1956,0.00484200000000001
40,395,1956,0.110996
40,450,1956,0.7523842
40,452,1956,1.9756551
40,530,1956,0.9742478
40,560,1956,0.561565
40,600,1956,1.8705517
40,616,1956,1.280954
40,620,1956,1.6886982
40,625,1956,2.10809
40,630,1956,0.8203477
40,640,1956,0.0456370000000001
40,645,1956,0.9402012
40,651,1956,2.225313
40,652,1956,2.35516
40,660,1956,1.6141332
40,663,1956,2.262404
40,666,1956,0.480875
40,670,1956,2.0831507
40,678,1956,2.167884
40,700,1956,1.9794309
40,713,1956,0.144357
40,740,1956,0.4933762
40,750,1956,2.0903967
40,770,1956,0.4843381
40,775,1956,1.5240798
40,780,1956,1.5665204
40,790,1956,1.3937005
40,800,1956,0.4182001
40,811,1956,1.2112636
40,812,1956,0.4828958
40,840,1956,0.4452054
40,850,1956,1.9218949
40,900,1956,0.939091
40,920,1956,0.83764
41,42,1956,0.9995467
41,70,1956,0.094506
41,90,1956,0.00872040000000002
41,91,1956,0.4978721
41,92,1956,0.0608919
41,93,1956,0.5641744
41,94,1956,0.3467764
41,95,1956,0.3433045
41,100,1956,0.6277937
41,101,1956,0.3732843
41,130,1956,0.2771387
41,135,1956,0.7254517
41,140,1956,0.6996637
41,145,1956,0.0599307
41,150,1956,0.4034901
41,155,1956,0.5060003
41,160,1956,0.307523
