"ccode_1","ccode_2","year","ip_diff"
2,20,2021,1.303169
2,31,2021,3.0004515
2,40,2021,4.284817
2,41,2021,2.69111632
2,42,2021,2.7715769
2,51,2021,2.9850017
2,52,2021,3.0949536
2,53,2021,2.9261573
2,54,2021,3.1370712
2,55,2021,3.2169314
2,56,2021,3.096068
2,57,2021,3.1124001
2,58,2021,3.0861365
2,60,2021,3.182265
2,70,2021,2.67810673
2,80,2021,3.018303
2,90,2021,2.64620035
2,91,2021,2.6113864
2,92,2021,3.0733036
2,93,2021,4.229204
2,94,2021,2.770151
2,95,2021,2.726335
2,100,2021,2.65707726
2,101,2021,4.387269
2,110,2021,2.8753209
2,115,2021,3.0346074
2,130,2021,2.8328762
2,135,2021,2.9001551
2,140,2021,2.487463
2,145,2021,3.858522
2,150,2021,2.9004051
2,155,2021,2.7714604
2,160,2021,2.69991204
2,165,2021,2.71329109
2,200,2021,0.681232
2,205,2021,1.9270517
2,210,2021,1.489965
2,211,2021,1.548929
2,212,2021,1.509723
2,220,2021,1.081541
2,221,2021,1.511699
2,223,2021,1.9576613
2,225,2021,1.8595261
2,230,2021,1.6791778
2,232,2021,1.9589133
2,235,2021,1.621843
2,255,2021,1.433816
2,290,2021,1.423103
2,305,2021,1.8659732
2,310,2021,1.420163
2,316,2021,1.28838
2,317,2021,1.410776
2,325,2021,1.523345
2,331,2021,1.9478058
2,338,2021,1.9218866
2,339,2021,1.496749
2,341,2021,1.5276
2,343,2021,1.551804
2,344,2021,1.437873
2,345,2021,2.207979
2,346,2021,1.9337507
2,349,2021,1.452215
2,350,2021,1.6929789
2,352,2021,1.9422212
2,355,2021,1.503293
2,359,2021,1.9230113
2,360,2021,1.500827
2,365,2021,2.5173669
2,366,2021,1.420805
2,367,2021,1.417557
2,368,2021,1.389787
2,369,2021,1.433707
2,370,2021,2.9153896
2,371,2021,2.4682664
2,372,2021,1.8126018
2,373,2021,3.4676891
2,375,2021,1.6921643
2,380,2021,1.7805274
2,385,2021,1.553062
2,390,2021,1.44089
2,395,2021,1.62208
2,402,2021,3.1759995
2,403,2021,3.0132591
2,404,2021,3.1293459
2,411,2021,3.5022294
2,420,2021,3.1477744
2,432,2021,3.4263361
2,433,2021,3.135597
2,434,2021,3.1560378
2,435,2021,3.2598335
2,436,2021,3.1948989
2,437,2021,2.7422835
2,438,2021,3.1613553
2,439,2021,3.2337613
2,450,2021,2.3011331
2,451,2021,3.2624597
2,452,2021,3.0622521
2,461,2021,2.67756724
2,471,2021,2.65055302
2,475,2021,3.2363029
2,481,2021,2.8356854
2,482,2021,3.1894702
2,483,2021,3.2249814
2,484,2021,3.2537463
2,500,2021,3.3788605
2,501,2021,2.9357174
2,510,2021,3.1111375
2,516,2021,3.1244699
2,517,2021,2.7465903
2,520,2021,3.2490285
2,522,2021,3.16414
2,530,2021,3.3285492
2,531,2021,3.667155
2,540,2021,3.2189779
2,541,2021,3.2083135
2,551,2021,2.8803258
2,552,2021,3.337444
2,553,2021,2.8252548
2,560,2021,3.0094581
2,565,2021,3.1419383
2,570,2021,2.962231
2,571,2021,2.9365876
2,572,2021,3.1709899
2,580,2021,2.802406
2,581,2021,3.579448
2,590,2021,3.2502395
2,591,2021,3.039651
2,600,2021,3.0521983
2,615,2021,3.5187358
2,616,2021,3.2182799
2,620,2021,3.3068095
2,625,2021,3.5551229
2,626,2021,2.8505671
2,630,2021,4.562493
2,640,2021,1.9270836
2,645,2021,3.4115162
2,651,2021,3.5317796
2,652,2021,4.709663
2,660,2021,3.3448801
2,663,2021,3.2106695
2,666,2021,0.243309
2,670,2021,2.9026068
2,679,2021,3.1573124
2,690,2021,3.2159444
2,692,2021,3.1165113
2,694,2021,3.2509699
2,696,2021,3.1957174
2,698,2021,3.4658669
2,700,2021,3.3872933
2,701,2021,3.5193239
2,702,2021,3.2007042
2,703,2021,3.4100683
2,704,2021,3.3544098
