"ccode_1","ccode_2","year","ip_diff"
2,20,1992,1.57759
2,31,1992,3.3145616
2,40,1992,4.792447
2,41,1992,3.4972201
2,42,1992,2.6434757
2,51,1992,3.1595904
2,52,1992,3.5517243
2,53,1992,3.3675478
2,54,1992,2.8132631
2,55,1992,3.4489503
2,56,1992,2.9302917
2,57,1992,2.8863595
2,58,1992,3.2178081
2,60,1992,3.1649318
2,70,1992,3.5026048
2,80,1992,3.3131374
2,90,1992,3.3469117
2,91,1992,3.1471544
2,92,1992,3.2034657
2,93,1992,3.3989006
2,94,1992,2.8512885
2,95,1992,2.7177755
2,100,1992,3.5567637
2,101,1992,3.3206523
2,110,1992,3.6477751
2,115,1992,3.3783107
2,130,1992,3.3649412
2,135,1992,3.2325505
2,140,1992,3.4282564
2,145,1992,2.8936996
2,150,1992,2.94881736
2,155,1992,3.2111987
2,160,1992,2.1885746
2,165,1992,2.6672538
2,200,1992,0.90153
2,205,1992,1.935128
2,210,1992,1.414058
2,211,1992,1.417332
2,212,1992,1.428402
2,220,1992,1.208043
2,223,1992,1.872315
2,230,1992,2.0540472
2,235,1992,1.716853
2,255,1992,1.418308
2,290,1992,1.674548
2,305,1992,1.886002
2,310,1992,1.656371
2,315,1992,1.639989
2,325,1992,1.427769
2,331,1992,1.685691
2,338,1992,2.2514849
2,339,1992,2.023883
2,344,1992,1.938424
2,345,1992,3.7959612
2,346,1992,3.2319939
2,349,1992,1.708672
2,350,1992,2.1000073
2,352,1992,3.5534397
2,355,1992,1.577721
2,359,1992,1.870272
2,360,1992,1.547824
2,365,1992,1.896264
2,366,1992,1.83801
2,367,1992,1.777656
2,368,1992,1.889875
2,369,1992,2.5705997
2,370,1992,2.5686243
2,371,1992,2.644051
2,373,1992,2.7685606
2,375,1992,1.715812
2,380,1992,1.838249
2,385,1992,1.75855
2,390,1992,1.708457
2,395,1992,1.721116
2,402,1992,3.3815397
2,403,1992,3.5859684
2,404,1992,3.8051136
2,420,1992,3.3769631
2,432,1992,3.4286234
2,433,1992,3.7607175
2,434,1992,3.2025368
2,435,1992,3.9622892
2,436,1992,3.8101269
2,437,1992,3.06408128
2,438,1992,3.7230544
2,439,1992,3.6672169
2,450,1992,3.4832156
2,451,1992,3.6581023
2,452,1992,3.9289141
2,461,1992,3.07125356
2,471,1992,3.3622188
2,475,1992,3.8051044
2,481,1992,3.6485323
2,482,1992,3.3247321
2,483,1992,3.6485641
2,484,1992,3.051064375
2,490,1992,3.06207249
2,500,1992,4.139014
2,501,1992,3.344887
2,510,1992,4.21595
2,516,1992,3.3779098
2,517,1992,3.4631374
2,522,1992,3.7343805
2,530,1992,3.3950724
2,540,1992,3.9312118
2,541,1992,3.6415802
2,551,1992,3.909539
2,552,1992,4.19887
2,553,1992,2.8698554
2,565,1992,4.148092
2,570,1992,3.4242609
2,571,1992,3.4824496
2,572,1992,3.3114469
2,580,1992,3.8518207
2,581,1992,3.5363573
2,590,1992,3.25588
2,591,1992,3.5461242
2,600,1992,3.740608
2,615,1992,3.8929919
2,616,1992,3.7486173
2,620,1992,4.376311
2,625,1992,5.060451
2,630,1992,4.189363
2,640,1992,2.2962395
2,645,1992,4.703023
2,651,1992,3.6539493
2,652,1992,4.273693
2,660,1992,3.913317
2,663,1992,3.8399015
2,666,1992,0.618786
2,670,1992,3.5147764
2,679,1992,4.361021
2,690,1992,3.4373355
2,692,1992,3.6866847
2,694,1992,3.5219614
2,696,1992,3.6320772
2,698,1992,3.6904504
2,700,1992,3.5227151
2,701,1992,2.983827
2,702,1992,3.1679735
2,703,1992,2.2976267
2,705,1992,2.4408971
2,710,1992,3.7880904
2,712,1992,3.3982284
2,731,1992,4.455703
2,732,1992,2.4911155
2,740,1992,1.990325
2,750,1992,3.7879255
2,760,1992,3.5471026
2,770,1992,4.063823
2,771,1992,4.0060738
2,775,1992,3.9597381
2,780,1992,4.062944
2,781,1992,3.642573
2,790,1992,3.3960248
2,800,1992,3.5797503
2,811,1992,3.585863
2,812,1992,4.085788
2,816,1992,4.399995
2,820,1992,4.18252
2,830,1992,3.2005158
2,835,1992,3.9146011
2,840,1992,3.4728765
2,850,1992,4.156674
2,900,1992,1.880642
2,910,1992,3.12462472
2,920,1992,2.031218
2,935,1992,3.6018704
2,940,1992,2.4251574
2,950,1992,2.9339125
2,983,1992,2.038921
2,987,1992,1.770936
2,990,1992,2.284704
20,31,1992,1.7369716
20,40,1992,3.214857
20,41,1992,1.9196301
20,42,1992,1.0658857
20,51,1992,1.5820004
20,52,1992,1.9741343
