"ccode_1","ccode_2","year","ip_diff"
2,20,2003,1.727829
2,31,2003,3.1917309
2,40,2003,4.366085
2,41,2003,3.7041516
2,42,2003,2.922342952
2,51,2003,3.4501785
2,52,2003,3.4691954
2,53,2003,3.39361
2,54,2003,3.5870693
2,55,2003,3.5177264
2,56,2003,3.7114302
2,57,2003,2.89950858
2,58,2003,3.4597407
2,60,2003,3.4552684
2,70,2003,3.2263208
2,80,2003,3.4634686
2,90,2003,2.7806309
2,91,2003,2.6524556
2,92,2003,2.90474538
2,93,2003,2.93693529
2,94,2003,2.85341596
2,95,2003,3.2670258
2,100,2003,3.2373757
2,101,2003,3.4406966
2,110,2003,3.5359335
2,115,2003,3.4539426
2,130,2003,3.3500629
2,135,2003,2.87123426
2,140,2003,2.95934088
2,145,2003,3.0962529
2,150,2003,2.98635932
2,155,2003,2.93247168
2,160,2003,2.6127232
2,165,2003,2.8643364
2,200,2003,1.173927
2,205,2003,2.136806
2,210,2003,1.776697
2,211,2003,1.688179
2,212,2003,1.691213
2,220,2003,1.418238
2,221,2003,1.815968
2,223,2003,1.9523712
2,225,2003,1.847874
2,230,2003,1.780136
2,232,2003,1.9891281
2,235,2003,1.820004
2,255,2003,1.618153
2,290,2003,1.652014
2,305,2003,1.9617284
2,310,2003,1.765062
2,316,2003,1.701062
2,317,2003,1.853073
2,325,2003,1.790891
2,331,2003,1.99755
2,338,2003,2.1801861
2,339,2003,1.62481
2,343,2003,1.897248
2,344,2003,1.874848
2,345,2003,1.920158
2,346,2003,1.9921763
2,349,2003,1.875562
2,350,2003,1.865997
2,352,2003,2.1968582
2,355,2003,1.694289
2,359,2003,2.1766714
2,360,2003,1.912174
2,365,2003,2.6353567
2,366,2003,1.769785
2,367,2003,1.779059
2,368,2003,1.689278
2,369,2003,2.4897598
2,370,2003,2.99054009
2,371,2003,2.6185938
2,372,2003,2.0491994
2,373,2003,2.9864788
2,375,2003,1.808378
2,380,2003,1.9279036
2,385,2003,1.737523
2,390,2003,1.784311
2,395,2003,1.736623
2,402,2003,3.5881594
2,403,2003,3.598906
2,404,2003,3.6316648
2,411,2003,2.94818617
2,420,2003,3.7347644
2,432,2003,3.6292152
2,433,2003,3.7322775
2,434,2003,3.5457993
2,435,2003,4.183656
2,436,2003,3.855144
2,437,2003,3.6685463
2,438,2003,3.6176333
2,439,2003,3.7067778
2,451,2003,3.3446803
2,452,2003,3.4983097
2,461,2003,3.7671588
2,471,2003,2.99289881
2,475,2003,3.4956864
2,481,2003,3.7178187
2,482,2003,3.3952653
2,483,2003,3.96165
2,484,2003,3.6292432
2,490,2003,3.8879991
2,500,2003,3.2425195
2,501,2003,3.6307901
2,510,2003,3.5276202
2,516,2003,3.3593252
2,517,2003,2.7720564
2,520,2003,3.971932
2,522,2003,3.96678
2,530,2003,3.3223224
2,531,2003,3.5880996
2,540,2003,3.2199329
2,541,2003,3.6008507
2,551,2003,3.6189026
2,552,2003,3.8552814
2,553,2003,3.3729471
2,560,2003,3.2450914
2,565,2003,3.5545254
2,570,2003,3.6018506
2,571,2003,3.3681847
2,572,2003,3.4859135
2,580,2003,3.463362
2,581,2003,4.011166
2,590,2003,3.2028584
2,591,2003,3.582345
2,600,2003,4.056035
2,615,2003,3.955343
2,616,2003,4.211778
2,620,2003,4.502379
2,625,2003,3.8422379
2,630,2003,4.133657
2,640,2003,2.2797256
2,651,2003,4.102446
2,652,2003,4.018299
2,660,2003,4.186065
2,663,2003,4.205429
2,666,2003,0.517264
2,670,2003,4.271511
2,679,2003,4.204529
2,690,2003,4.118773
2,692,2003,4.192644
2,694,2003,4.218772
2,696,2003,4.053815
2,698,2003,4.213006
2,700,2003,3.7949786
2,701,2003,3.8063958
2,702,2003,2.82033517
2,703,2003,2.83549593
2,704,2003,2.468021
2,705,2003,2.7575216
2,710,2003,3.8529593
2,712,2003,3.2818216
2,731,2003,4.146199
2,732,2003,2.1339798
2,740,2003,2.1413447
2,750,2003,3.026642
2,760,2003,3.1188351
2,770,2003,3.3403146
2,771,2003,3.8557806
2,775,2003,4.369225
2,780,2003,3.5125998
2,781,2003,3.5995831
2,790,2003,3.4246623
2,800,2003,3.1519441
2,811,2003,3.5712965
2,812,2003,3.6265932
2,816,2003,4.386465
2,820,2003,3.936002
2,830,2003,3.0780021
2,835,2003,4.108787
2,840,2003,3.4206683
2,850,2003,3.7797684
2,860,2003,3.0749033
2,900,2003,1.642031
2,910,2003,2.761762
2,920,2003,2.145617
2,935,2003,3.01314408
2,940,2003,2.6702217
2,946,2003,3.163386
2,947,2003,2.688211
2,950,2003,3.00069137
2,955,2003,2.6268633
2,970,2003,2.3920581
2,983,2003,0.997794
2,986,2003,0.316881
2,987,2003,0.653168
2,990,2003,2.6565548
20,31,2003,1.4639019
20,40,2003,2.638256
20,41,2003,1.9763226
20,42,2003,1.194513952
20,51,2003,1.7223495
20,52,2003,1.7413664
20,53,2003,1.665781
20,54,2003,1.8592403
20,55,2003,1.7898974
20,56,2003,1.9836012
20,57,2003,1.17167958
20,58,2003,1.7319117
20,60,2003,1.7274394
20,70,2003,1.4984918
20,80,2003,1.7356396
20,90,2003,1.0528019
20,91,2003,0.9246266
20,92,2003,1.17691638
20,93,2003,1.20910629
20,94,2003,1.12558696
20,95,2003,1.5391968
20,100,2003,1.5095467
20,101,2003,1.7128676
20,110,2003,1.8081045
20,115,2003,1.7261136
20,130,2003,1.6222339
20,135,2003,1.14340526
20,140,2003,1.23151188
20,145,2003,1.3684239
20,150,2003,1.25853032
20,155,2003,1.20464268
20,160,2003,0.8848942
20,165,2003,1.1365074
20,200,2003,0.553902
20,205,2003,0.408977
20,210,2003,0.0488680000000001
20,211,2003,0.03965
20,212,2003,0.036616
20,220,2003,0.309591
20,221,2003,0.0881390000000002
20,223,2003,0.2245422
20,225,2003,0.120045
20,230,2003,0.0523070000000001
20,232,2003,0.2612991
20,235,2003,0.0921750000000001
20,255,2003,0.109676
20,290,2003,0.075815
20,305,2003,0.2338994
20,310,2003,0.0372330000000001
20,316,2003,0.026767
20,317,2003,0.125244
20,325,2003,0.0630620000000002
20,331,2003,0.269721
20,338,2003,0.4523571
20,339,2003,0.103019
20,343,2003,0.169419
20,344,2003,0.147019
20,345,2003,0.192329
20,346,2003,0.2643473
20,349,2003,0.147733
20,350,2003,0.138168
20,352,2003,0.4690292
20,355,2003,0.0335399999999999
20,359,2003,0.4488424
20,360,2003,0.184345
20,365,2003,0.9075277
20,366,2003,0.0419560000000001
20,367,2003,0.0512300000000001
20,368,2003,0.038551
20,369,2003,0.7619308
20,370,2003,1.26271109
20,371,2003,0.8907648
20,372,2003,0.3213704
20,373,2003,1.2586498
20,375,2003,0.080549
