"ccode_1","ccode_2","year","ip_diff"
2,20,1966,0.318995
2,40,1966,4.258872
2,41,1966,1.2199325
2,42,1966,1.4309434
2,51,1966,2.0216133
2,52,1966,1.3387923
2,53,1966,1.3279829
2,70,1966,1.3794809
2,90,1966,1.6823404
2,91,1966,1.3622647
2,92,1966,1.15324
2,93,1966,1.12517
2,94,1966,1.3767454
2,95,1966,1.661216
2,100,1966,1.3465691
2,101,1966,1.2970012
2,110,1966,2.0510087
2,130,1966,1.3463454
2,135,1966,1.4971007
2,140,1966,1.091179
2,145,1966,1.211057
2,150,1966,1.345861
2,155,1966,1.659576
2,160,1966,1.2789776
2,165,1966,1.3684835
2,200,1966,0.0866400000000001
2,205,1966,0.875837
2,210,1966,0.36308
2,211,1966,0.338325
2,212,1966,0.26746
2,220,1966,0.929997
2,230,1966,1.6321946
2,235,1966,0.0275510000000003
2,290,1966,4.346795
2,305,1966,0.807743
2,310,1966,4.336408
2,315,1966,4.355204
2,325,1966,0.554646
2,338,1966,0.185665
2,339,1966,4.510844
2,345,1966,3.75609
2,350,1966,1.006049
2,352,1966,2.4444109
2,355,1966,4.341849
2,360,1966,4.371428
2,365,1966,4.339334
2,369,1966,4.36369
2,370,1966,4.334072
2,375,1966,1.761029
2,380,1966,0.808643
2,385,1966,0.723362
2,390,1966,0.881413
2,395,1966,0.7343
2,420,1966,1.7781366
2,432,1966,4.078202
2,433,1966,2.6107954
2,434,1966,1.8677493
2,435,1966,3.91725
2,436,1966,1.8725689
2,437,1966,1.7908525
2,438,1966,3.750177
2,439,1966,1.8637912
2,450,1966,2.058114
2,451,1966,2.6737696
2,452,1966,2.0260929
2,461,1966,2.0264404
2,471,1966,2.6086353
2,475,1966,2.8770442
2,481,1966,2.26008607
2,482,1966,1.8661869
2,483,1966,2.4550083
2,484,1966,4.168305
2,490,1966,2.3475643
2,500,1966,2.791544
2,501,1966,2.6224082
2,510,1966,2.9824871
2,516,1966,3.0194429
2,517,1966,2.14078483
