disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2
3380,3380.0009765625,651,EGY,666,ISR,1973,25,10,1973,25,7,1975,0,0,0,18,4,1,1,1,1,1,1,0,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,1,68,68,17,17,17,75,75,75,0,0,0,0,0
3380,3380.0009765625,651,EGY,666,ISR,1974,25,10,1973,25,7,1975,0,0,0,18,4,1,1,1,1,1,1,0,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,2,365,433,17,17,17,75,75,75,0,0,0,0,0
3380,3380.0009765625,651,EGY,666,ISR,1975,25,10,1973,25,7,1975,5,1,0,18,4,1,1,1,1,1,1,-9,18,4,1,0,0,0,1,18,4,1,1,3,1,3,0,3,207,640,17,17,17,75,75,75,0,0,0,0,0
3380,3380.0009765625,666,ISR,651,EGY,1973,25,10,1973,25,7,1975,0,0,0,18,4,1,1,1,0,0,0,0,18,4,1,1,1,1,0,18,4,1,3,1,3,1,0,1,68,68,17,17,17,75,75,75,0,0,0,0,0
3380,3380.0009765625,666,ISR,651,EGY,1974,25,10,1973,25,7,1975,0,0,0,18,4,1,1,1,0,0,0,0,18,4,1,1,1,1,0,18,4,1,3,1,3,1,0,2,365,433,17,17,17,75,75,75,0,0,0,0,0
3380,3380.0009765625,666,ISR,651,EGY,1975,25,10,1973,25,7,1975,5,1,0,18,4,1,1,1,0,0,0,1,18,4,1,1,1,1,-9,18,4,1,3,1,3,1,0,3,207,640,17,17,17,75,75,75,0,0,0,0,0
3381,3381.0009765625,651,EGY,666,ISR,1975,15,10,1975,6,3,1976,0,0,0,2,2,0,1,1,1,1,2,0,2,2,1,0,0,0,0,0,1,1,1,3,1,3,0,1,78,78,1,1,0,30,30,0,0,0,0,0,0
3381,3381.0009765625,651,EGY,666,ISR,1976,15,10,1975,6,3,1976,5,3,0,2,2,0,1,1,1,1,2,0,2,2,1,0,0,0,0,0,1,1,1,3,1,3,0,2,67,145,1,1,0,30,30,99,0,0,0,0,0
3381,3381.0009765625,666,ISR,651,EGY,1975,15,10,1975,6,3,1976,0,0,0,2,2,0,1,1,0,0,0,0,0,1,1,1,1,2,0,2,2,1,3,1,3,1,0,1,78,78,1,0,1,30,0,30,0,0,0,0,0
3381,3381.0009765625,666,ISR,651,EGY,1976,15,10,1975,6,3,1976,5,3,0,2,2,0,1,1,0,0,0,0,0,1,1,1,1,2,0,2,2,1,3,1,3,1,0,2,67,145,1,0,1,30,0,30,0,0,0,0,0
3382,3382.0009765625,651,EGY,666,ISR,1977,14,11,1977,19,11,1977,5,3,0,10,3,0,1,1,0,1,1,0,0,1,1,1,0,0,0,10,3,1,3,1,3,1,0,1,6,6,8,0,8,20,0,20,0,0,0,0,0
3382,3382.0009765625,666,ISR,651,EGY,1977,14,11,1977,19,11,1977,5,3,0,10,3,0,1,1,1,0,0,0,10,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,6,6,8,8,0,20,20,65,0,0,0,0,0
3383,3383.0009765625,651,EGY,666,ISR,1979,3,7,1979,3,7,1979,6,1,0,9,3,0,1,1,0,1,1,0,0,1,1,1,0,0,0,9,3,1,3,1,3,1,0,1,1,1,7,0,7,49,0,49,0,0,0,0,0
3383,3383.0009765625,666,ISR,651,EGY,1979,3,7,1979,3,7,1979,6,1,0,9,3,0,1,1,1,0,0,0,9,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,1,1,7,7,0,49,49,65,0,0,0,0,0
3384,3384.0009765625,651,EGY,666,ISR,1983,20,1,1983,21,1,1983,3,1,0,7,3,0,1,1,1,0,0,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,2,2,7,7,0,49,49,0,0,0,0,0,0
3384,3384.0009765625,666,ISR,651,EGY,1983,20,1,1983,21,1,1983,4,1,0,7,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,7,3,1,3,1,3,1,0,1,2,2,7,0,7,49,65,49,0,0,0,0,0
3385,3385.0009765625,651,EGY,666,ISR,1983,16,8,1983,5,7,1985,0,0,0,17,4,0,1,1,1,0,0,0,17,4,1,0,0,0,0,14,3,1,1,3,1,3,0,1,138,138,15,15,12,81,81,65,0,0,0,0,0
3385,3385.0009765625,651,EGY,666,ISR,1984,16,8,1983,5,7,1985,0,0,0,17,4,0,1,1,1,0,0,0,17,4,1,0,0,0,0,14,3,1,1,3,1,3,0,2,366,504,15,15,12,81,81,65,0,0,0,0,0
3385,3385.0009765625,651,EGY,666,ISR,1985,16,8,1983,5,7,1985,7,1,0,17,4,0,1,1,1,0,0,0,17,4,1,0,0,0,0,14,3,1,1,3,1,3,0,3,187,691,15,15,12,81,81,65,0,0,0,0,0
3385,3385.0009765625,666,ISR,651,EGY,1983,16,8,1983,5,7,1985,0,0,0,17,4,0,1,1,0,0,0,0,14,3,1,1,0,0,0,17,4,1,3,1,3,1,0,1,138,138,15,12,15,81,65,81,0,0,0,0,0
3385,3385.0009765625,666,ISR,651,EGY,1984,16,8,1983,5,7,1985,0,0,0,17,4,0,1,1,0,0,0,0,14,3,1,1,0,0,0,17,4,1,3,1,3,1,0,2,366,504,15,12,15,81,65,81,0,0,0,0,0
3385,3385.0009765625,666,ISR,651,EGY,1985,16,8,1983,5,7,1985,7,1,0,17,4,0,1,1,0,0,0,0,14,3,1,1,0,0,0,17,4,1,3,1,3,1,0,3,187,691,15,12,15,81,65,81,0,0,0,0,0
3386,3386.0009765625,651,EGY,666,ISR,1949,23,12,1949,7,1,1950,0,0,0,18,4,1,1,1,1,1,1,0,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,1,9,9,17,17,17,75,75,75,0,0,0,0,0
